<class 'gym.spaces.tuple.Tuple'>
Tuple(Box(18,), Discrete(200))
Tuple(Box(18,), Discrete(200))
[array([0.5, 0.5, 0.5, 2.5], dtype=float32), array([0.5, 0.5, 0.5, 2.5], dtype=float32), array([5.], dtype=float32)]
12
params:
0.2
True
10000
Multi-Pass P-DQN Agent with Threshold
Actor Network MultiPassQActor(
  (layers): ModuleList(
    (0): Linear(in_features=27, out_features=128, bias=True)
    (1): Linear(in_features=128, out_features=128, bias=True)
    (2): Linear(in_features=128, out_features=3, bias=True)
  )
)
Param Network ParamActor_Threshold(
  (layers): ModuleList(
    (0): Linear(in_features=18, out_features=128, bias=True)
    (1): Linear(in_features=128, out_features=128, bias=True)
  )
  (action_parameters_output_layer): Linear(in_features=128, out_features=6, bias=True)
  (action_parameters_passthrough_layer): Linear(in_features=18, out_features=6, bias=True)
)
Actor Alpha: 0.001
Actor Param Alpha: 0.0001
Gamma: 0.9
Tau (actor): 0.1
Tau (actor-params): 0.001
Inverting Gradients: True
Replay Memory: 10000
Batch Size: 128
Initial memory: 500
epsilon_initial: 1.0
epsilon_final: 0.01
epsilon_steps: 1000
Clip Grad: 10.0
Zero Index Grads?: False
Seed: 1

Models saved successfully
0     R:23.3004 r100:23.3004
100   R:18.3093 r100:18.2594
200   R:20.9556 r100:23.6284
300   R:42.4910 r100:85.7771
400   R:47.6468 r100:63.1656
500   R:64.7220 r100:133.1936
600   R:77.2809 r100:140.2010
700   R:94.3161 r100:196.6977
800   R:107.2890 r100:198.2294
900   R:146.3161 r100:458.9232
Models saved successfully
1000  R:186.8116 r100:551.6759
1100  R:240.3313 r100:776.0630
1200  R:254.8874 r100:415.1507
1300  R:302.0456 r100:868.4147
1400  R:383.7095 r100:1446.1577
1500  R:419.3607 r100:918.8334
1600  R:445.9741 r100:845.4420
1700  R:470.4786 r100:862.7946
1800  R:505.7435 r100:1105.6000
1900  R:540.5980 r100:1168.3278
Models saved successfully
2000  R:575.0241 r100:1229.4647
2100  R:628.8024 r100:1704.9055
2200  R:654.5908 r100:1196.4048
2300  R:689.1395 r100:1449.5562
2400  R:718.6346 r100:1397.3162
2500  R:736.0820 r100:1154.9944
2600  R:753.7760 r100:1196.3035
2700  R:773.7594 r100:1293.5271
2800  R:795.1820 r100:1373.8072
2900  R:828.0467 r100:1748.5864
Models saved successfully
3000  R:844.7768 r100:1330.1168
3100  R:856.8794 r100:1220.0786
3200  R:888.9693 r100:1884.0772
3300  R:897.8838 r100:1183.2390
3400  R:920.8830 r100:1680.0859
3500  R:942.7837 r100:1687.6271
3600  R:961.2157 r100:1606.5191
3700  R:996.9356 r100:2283.2101
3800  R:1019.6417 r100:1859.9935
3900  R:1044.2291 r100:1978.7946
Models saved successfully
4000  R:1058.3277 r100:1608.3145
4100  R:1090.7314 r100:2387.2041
4200  R:1113.8551 r100:2062.1563
4300  R:1128.3291 r100:1736.3858
4400  R:1148.9430 r100:2035.5454
4500  R:1177.8679 r100:2450.8515
4600  R:1209.4378 r100:2630.3987
4700  R:1235.4455 r100:2432.0587
4800  R:1259.0210 r100:2367.3087
4900  R:1292.7929 r100:2914.1825
Models saved successfully
5000  R:1318.8378 r100:2595.2937
5100  R:1346.0180 r100:2705.3044
5200  R:1366.9532 r100:2434.8545
5300  R:1400.3551 r100:3137.5870
5400  R:1424.0342 r100:2679.2670
5500  R:1446.3523 r100:2651.7526
5600  R:1472.2041 r100:2894.3089
5700  R:1495.0605 r100:2775.2469
5800  R:1520.4650 r100:2968.7778
5900  R:1540.0964 r100:2678.9140
Models saved successfully
6000  R:1557.3254 r100:2574.0091
6100  R:1584.5133 r100:3216.0603
6200  R:1607.1194 r100:2986.3129
6300  R:1637.5989 r100:3527.6324
6400  R:1664.3327 r100:3348.8328
6500  R:1688.1881 r100:3215.1721
6600  R:1709.4667 r100:3092.7893
6700  R:1737.4044 r100:3581.5714
6800  R:1763.5070 r100:3512.6429
6900  R:1788.5431 r100:3491.2492
Models saved successfully
7000  R:1807.2393 r100:3097.4609
7100  R:1822.4343 r100:2886.2376
7200  R:1841.0601 r100:3163.6771
7300  R:1857.2970 r100:3026.5164
7400  R:1877.2510 r100:3334.0928
7500  R:1894.2891 r100:3155.2771
7600  R:1913.0086 r100:3317.1621
7700  R:1927.1204 r100:2999.7558
7800  R:1945.5401 r100:3364.0455
7900  R:1964.1631 r100:3416.9433
Models saved successfully
8000  R:1980.7859 r100:3294.1478
8100  R:1995.2853 r100:3155.3830
8200  R:2009.1976 r100:3136.2369
8300  R:2026.7391 r100:3465.3109
8400  R:2040.0128 r100:3141.8697
8500  R:2056.2168 r100:3417.5133
8600  R:2070.7290 r100:3304.4129
8700  R:2081.0606 r100:2969.6740
8800  R:2096.6122 r100:3449.7604
8900  R:2109.6001 r100:3252.6618
Models saved successfully
9000  R:2123.7538 r100:3383.5829
9100  R:2135.7143 r100:3212.2715
9200  R:2150.7936 r100:3523.1666
9300  R:2165.0024 r100:3472.3527
9400  R:2177.8511 r100:3372.9047
9500  R:2188.8836 r100:3226.0524
9600  R:2202.2625 r100:3473.3872
9700  R:2213.7031 r100:3312.1184
9800  R:2222.4367 r100:3069.6867
9900  R:2233.8558 r100:3353.0379
Models saved successfully
10000 R:2248.5741 r100:3705.8385
10100 R:2258.6871 r100:3270.0886
10200 R:2265.7215 r100:2976.2634
10300 R:2278.5824 r100:3590.5160
10400 R:2287.4971 r100:3205.8049
10500 R:2294.9151 r100:3066.4572
10600 R:2304.2134 r100:3280.6276
10700 R:2311.9324 r100:3130.2326
10800 R:2312.9050 r100:2416.9762
10900 R:2324.3164 r100:3556.8596
Models saved successfully
11000 R:2330.5772 r100:3013.0666
11100 R:2338.3593 r100:3194.4714
11200 R:2345.6781 r100:3158.1376
11300 R:2352.7424 r100:3144.0173
11400 R:2359.5330 r100:3126.9349
11500 R:2364.6878 r100:2952.3918
11600 R:2372.0409 r100:3217.7193
11700 R:2380.0634 r100:3310.7512
11800 R:2387.3339 r100:3238.0594
11900 R:2394.8425 r100:3280.9247
Models saved successfully
12000 R:2400.6078 r100:3086.7456
12100 R:2406.3935 r100:3100.7336
12200 R:2411.3737 r100:3014.0197
12300 R:2420.0049 r100:3473.1090
12400 R:2425.2293 r100:3067.8762
12500 R:2429.4794 r100:2956.5313
12600 R:2436.2185 r100:3278.6777
12700 R:2440.8296 r100:3021.8772
12800 R:2445.5919 r100:3050.4453
12900 R:2454.3373 r100:3573.8397
Models saved successfully
13000 R:2460.1594 r100:3211.2620
13100 R:2468.9735 r100:3614.9065
13200 R:2475.6705 r100:3353.0427
13300 R:2479.3254 r100:2961.8039
13400 R:2488.7843 r100:3746.9117
13500 R:2495.2470 r100:3361.3090
13600 R:2503.6197 r100:3634.0186
13700 R:2512.4126 r100:3708.3364
